年月,地區,類別,男性[筆數],男性[金額，新台幣],女性[筆數],女性[金額，新台幣]
104年07月,新北市,文教康樂,2080297,11161847669,2821777,13568426380
104年08月,新北市,文教康樂,2138659,12142250409,2976996,14976510742
104年09月,新北市,文教康樂,2035607,11046820933,2793590,14167923875
104年10月,新北市,文教康樂,2047986,10600904612,2787890,13080217985
104年11月,新北市,文教康樂,1928918,9750277660,2578243,11787515491
104年12月,新北市,文教康樂,1983378,9385968995,2726902,11804045460
105年01月,新北市,文教康樂,1960599,10790733417,2718220,13932328238
105年02月,新北市,文教康樂,2109786,10803274062,2816757,13520243770
105年03月,新北市,文教康樂,1927420,9654427755,2607098,12485230418
105年04月,新北市,文教康樂,1890176,8915466437,2494645,11615230123
105年05月,新北市,文教康樂,1827993,9849340613,2478787,12877242043
105年06月,新北市,文教康樂,2016253,11037936785,2686832,13722168575
105年07月,新北市,文教康樂,2156513,9856855212,2876678,12503857289
105年08月,新北市,文教康樂,2127716,11429063201,2912351,14701661510
105年09月,新北市,文教康樂,1949967,9663128918,2649989,12879182559
105年10月,新北市,文教康樂,2074088,9088003173,2754091,11985215898
105年11月,新北市,文教康樂,2042219,10015408790,2707718,12188626864
105年12月,新北市,文教康樂,2124068,9388190831,2876495,11763999474
106年01月,新北市,文教康樂,2079947,9961312753,2795933,12822763565
106年02月,新北市,文教康樂,2156368,11898015122,2901728,15093001880
106年03月,新北市,文教康樂,2167569,11148311517,2906265,13866571040
106年04月,新北市,文教康樂,2228208,10053852007,2940821,12750747426
106年05月,新北市,文教康樂,2089068,11048613432,2782694,14016421194
106年06月,新北市,文教康樂,2043245,11001063878,2706540,13888345080
106年07月,新北市,文教康樂,2180919,10621762318,2902820,13246043620
106年08月,新北市,文教康樂,2188164,12272376781,2979527,15278491004
106年09月,新北市,文教康樂,2105587,11496510862,2851536,15190343491
106年10月,新北市,文教康樂,2196216,10294252846,2937993,13339567006
106年11月,新北市,文教康樂,2043272,9874576329,2735505,12360208773
106年12月,新北市,文教康樂,2184502,9306298681,3040698,12088697961
107年01月,新北市,文教康樂,2021080,10203480834,2781610,13186060707
107年02月,新北市,文教康樂,2091482,10881439175,2858507,14142440766
107年03月,新北市,文教康樂,2179564,11894973104,2951906,15302799755
107年04月,新北市,文教康樂,2267304,10316104053,2915065,13317535979
107年05月,新北市,文教康樂,2207863,11730742573,2948602,15439043456
103年01月,新北市,食,5875578,10483338213,7674125,11720346651
103年02月,新北市,食,4763571,6981712001,6066859,7625464220
103年03月,新北市,食,5365522,7421668320,7148010,8329872332
103年04月,新北市,食,5161865,6980205288,6921781,8002036872
103年05月,新北市,食,5712909,8157980444,7530684,9284911426
103年06月,新北市,食,5710873,7760191864,7511827,8758926517
103年07月,新北市,食,6258639,8416978404,8532950,9902968838
103年08月,新北市,食,6593987,9512172652,9028478,11345772385
103年09月,新北市,食,5855220,7854753560,7902094,9166644426
103年10月,新北市,食,5826987,7763480593,7851278,8892769506
103年11月,新北市,食,5832118,8020592976,7792615,9274680487
103年12月,新北市,食,6229860,8900896358,8402534,10231077684
104年01月,新北市,食,6325957,9483509391,8345953,10920398793
104年02月,新北市,食,6189658,10245360883,8025829,11693705938
104年03月,新北市,食,5833910,8098816422,7755447,9178454333
104年04月,新北市,食,5975830,7903882484,7913338,9128301470
104年05月,新北市,食,6715770,9224165574,8748245,10561897539
104年06月,新北市,食,6528495,8418529267,8592496,9684748116
104年07月,新北市,食,6866645,8831718193,9285036,10420320280
104年08月,新北市,食,7678665,10427641813,10537560,12793720473
104年09月,新北市,食,6838738,9225252585,9185955,10930321281
104年10月,新北市,食,6810657,8944587347,9095549,10246876459
104年11月,新北市,食,6597230,8886202014,8933618,10437720569
104年12月,新北市,食,7059206,9767728276,9468727,11314011678
105年01月,新北市,食,7419333,11481563310,9752319,13467602250
105年02月,新北市,食,6848217,10210460356,8712925,11612846818
105年03月,新北市,食,6485283,8488671981,8587339,9853703065
105年04月,新北市,食,6721673,8645871461,8732326,10019492294
105年05月,新北市,食,7244514,9514131312,9333103,10896560565
105年06月,新北市,食,7537553,9598125715,9811158,10981982099
105年07月,新北市,食,8031563,10132465618,10513295,11915585853
105年08月,新北市,食,7238924,10040801862,9663181,12113498781
105年09月,新北市,食,7027182,9377134002,9060108,10920383085
105年10月,新北市,食,7185375,9405385145,9193059,10719753988
105年11月,新北市,食,6721291,7786599328,8904518,8597307327
105年12月,新北市,食,7296291,8881699987,9604664,9869477072
106年01月,新北市,食,7018779,10577859133,8833772,11517632277
106年02月,新北市,食,6011089,7528840378,7493073,8108641806
106年03月,新北市,食,6542952,7747527439,8533483,8806456987
106年04月,新北市,食,7148772,8206922510,9233645,9523828746
106年05月,新北市,食,6787823,8555880689,8602756,9654624806
106年06月,新北市,食,6017871,7610195218,7742120,8698324602
106年07月,新北市,食,6854237,8412669571,8879245,9779356085
106年08月,新北市,食,6889189,8962275535,9167637,10753862281
106年09月,新北市,食,6419540,8344409235,8403289,9968852426
106年10月,新北市,食,6762388,8587507229,8639784,9828181662
106年11月,新北市,食,6302437,7862919846,8295704,9231317435
106年12月,新北市,食,6962272,8964927171,9019173,10359135952
107年01月,新北市,食,6070356,8150168919,7876287,9441049950
107年02月,新北市,食,6896575,9841823833,8546145,11298575091
107年03月,新北市,食,6823506,7781745703,8542379,9019632204
107年04月,新北市,食,7430955,8981731849,9194828,10550596392
107年05月,新北市,食,8546395,10908713576,10457999,12758375837
103年01月,新北市,住,1238752,6072478250,1122737,5846257125
103年02月,新北市,住,979996,4256443983,877357,3986376238
103年03月,新北市,住,996800,4546798769,870012,4207709477
103年04月,新北市,住,972643,4790430444,842336,4502246668
103年05月,新北市,住,1047070,4932741860,933103,4757430791
103年06月,新北市,住,1058622,4995664516,958705,4832414069
103年07月,新北市,住,1180132,5712162291,1088067,5565869542
103年08月,新北市,住,1171472,5315928257,1098237,5265347938
103年09月,新北市,住,1019909,4714866932,934989,4522519114
103年10月,新北市,住,1061938,4875045318,963055,4603202462
103年11月,新北市,住,1122870,5459674754,1038510,5444341528
103年12月,新北市,住,1181363,5576209406,1044575,5171818114
104年01月,新北市,住,1230097,5793969828,1101624,5471243260
104年02月,新北市,住,1208162,5472677700,1113661,5312900263
104年03月,新北市,住,1071607,4683990962,950716,4369711486
104年04月,新北市,住,1072815,5095374394,942179,4810202370
104年05月,新北市,住,1101465,5201206181,992439,4958662063
104年06月,新北市,住,1087150,5200004117,998451,5083497964
104年07月,新北市,住,1183225,5613469402,1110337,5453787870
104年08月,新北市,住,1191719,5165761596,1114913,5024676957
104年09月,新北市,住,1049202,4637263772,952813,4430862898
104年10月,新北市,住,1102245,5176867996,980922,4819337086
104年11月,新北市,住,1158515,5879770866,1069352,5782061409
104年12月,新北市,住,1185456,5811210744,1077271,5477608179
105年01月,新北市,住,1271586,6380642047,1175143,6227430757
105年02月,新北市,住,1189237,5546666537,1090412,5285592963
105年03月,新北市,住,989540,4294934655,874874,3970352255
105年04月,新北市,住,1000414,4768959469,895985,4472984191
105年05月,新北市,住,982845,4729517768,902280,4641515026
105年06月,新北市,住,1071063,5143727783,978971,5035447691
105年07月,新北市,住,1109865,5341886377,1039353,5226883276
105年08月,新北市,住,1042359,4787053602,992476,4778351643
105年09月,新北市,住,951291,4300857611,859060,4115829787
105年10月,新北市,住,1057047,4853576383,941849,4634455801
105年11月,新北市,住,1126814,5492886208,1016755,5334896771
105年12月,新北市,住,1151529,5558156554,1055389,5278634702
106年01月,新北市,住,1168121,5917278397,1100845,5913719366
106年02月,新北市,住,1044806,4533140731,965306,4290767090
106年03月,新北市,住,989258,4509689484,888881,4161360506
106年04月,新北市,住,1070912,5309526598,964256,5075146684
106年05月,新北市,住,1033903,5010235840,956803,4825243606
106年06月,新北市,住,973605,4828145263,896628,4687665731
106年07月,新北市,住,1161618,5736697162,1104187,5677174642
106年08月,新北市,住,1162873,5517815600,1130340,5435621037
106年09月,新北市,住,1016525,4822771999,948112,4658836733
106年10月,新北市,住,1132934,5591884267,1066181,5582594763
106年11月,新北市,住,1135571,5654492199,1016075,5256805450
106年12月,新北市,住,1208899,5862247817,1109688,5535763958
107年01月,新北市,住,1052823,5224106844,978826,5152939267
107年02月,新北市,住,1128900,5354166941,1079849,5353191743
107年03月,新北市,住,1038253,4793890325,963681,4602808620
107年04月,新北市,住,1107822,5513199330,1018446,5440694597
107年05月,新北市,住,1068177,5350126058,994018,5358076137
103年01月,新北市,其他,6604239,22768627299,8939208,29641817736
103年02月,新北市,其他,5914579,18622831384,7979088,24929757776
103年03月,新北市,其他,6742726,21289969916,9144509,29523975533
103年04月,新北市,其他,6476929,21441953124,8714301,28408095627
103年05月,新北市,其他,6957682,42343608629,9309822,42088672469
103年06月,新北市,其他,6639737,25126308456,9016629,31557805207
103年07月,新北市,其他,6596958,21380400729,9043879,28904729850
103年08月,新北市,其他,6717280,21610951968,9145388,29127318311
103年09月,新北市,其他,6941809,23616147396,9396089,32585729572
103年10月,新北市,其他,6868903,24058657196,9342750,30762004859
103年11月,新北市,其他,6693685,22703810752,9076052,28908742893
103年12月,新北市,其他,7649099,28134535652,10494257,39009453186
104年01月,新北市,其他,7142599,23955242744,9700279,31744004527
104年02月,新北市,其他,6117130,19900304682,8145718,25792926889
104年03月,新北市,其他,7727130,24534265338,10454275,34723673241
104年04月,新北市,其他,7167930,25938085855,9669966,35586175576
104年05月,新北市,其他,7623032,54943316873,10151838,53628324109
104年06月,新北市,其他,7339410,27674838979,9968789,36291715488
104年07月,新北市,其他,7768019,24836062150,10454669,33483836235
104年08月,新北市,其他,7730119,25060439212,10400112,34344375400
104年09月,新北市,其他,7600151,27499650028,10361260,38501548542
104年10月,新北市,其他,7928787,27851957635,10614202,36246661592
104年11月,新北市,其他,7968071,27026281819,10822728,36903681639
104年12月,新北市,其他,8349388,29459355824,11314382,41252076215
105年01月,新北市,其他,7908342,26557994232,10785711,36926326528
105年02月,新北市,其他,6868863,21846327074,9076906,29537169345
105年03月,新北市,其他,8716183,28117713511,11581807,40946565055
105年04月,新北市,其他,7920952,27940243433,10574486,40349482212
105年05月,新北市,其他,7969028,65043206709,10851656,59918602831
105年06月,新北市,其他,8130006,27061659965,11041272,37667736616
105年07月,新北市,其他,8910619,27636980532,11554509,38011376519
105年08月,新北市,其他,8589232,30858514510,11383554,43585137814
105年09月,新北市,其他,7811640,27097315892,10310760,36418915164
105年10月,新北市,其他,8268287,26467646945,11009107,35475568260
105年11月,新北市,其他,9070699,29540967533,11892314,37888908514
105年12月,新北市,其他,9161305,32352009026,11835191,42758899623
106年01月,新北市,其他,7902221,26605404203,10450354,36612671888
106年02月,新北市,其他,7193588,21988185968,9579353,28997550760
106年03月,新北市,其他,9407951,28488169648,12198583,38369981632
106年04月,新北市,其他,8714682,26410079064,11210283,33744357476
106年05月,新北市,其他,9216868,69724711464,11866494,62832660721
106年06月,新北市,其他,8029205,29799127463,10540752,37969353067
106年07月,新北市,其他,8454728,27312068664,11084613,35805501196
106年08月,新北市,其他,8433366,28032405107,11258607,37431279062
106年09月,新北市,其他,8202461,28389505417,10823916,37119709737
106年10月,新北市,其他,8579533,26396131389,11134685,34088572163
106年11月,新北市,其他,9031834,32216141289,11718477,39634127376
106年12月,新北市,其他,8855130,31939076940,11494930,42022711006
107年01月,新北市,其他,8614975,28311138346,11090640,37535804720
107年02月,新北市,其他,7323981,23718778730,9568176,30571594782
107年03月,新北市,其他,9189852,30537997659,11895725,41384658916
107年04月,新北市,其他,9233914,29742374825,11506038,39066790792
107年05月,新北市,其他,12358730,1.81227E+11,15148022,1.38207E+11
103年01月,新北市,行,8768651,10250604877,4521067,4904887017
103年02月,新北市,行,7903887,9188110372,4037287,4431462854
103年03月,新北市,行,8855766,10357237315,4656200,5114156369
103年04月,新北市,行,8544935,9852883489,4474941,4813245952
103年05月,新北市,行,9009616,10493165291,4761712,5198567956
103年06月,新北市,行,8989891,10546156823,4715081,5208521122
103年07月,新北市,行,9431156,11026763664,4949914,5455643155
103年08月,新北市,行,9561364,10847037732,5041034,5354337213
103年09月,新北市,行,9072497,10104361652,4754736,4958126893
103年10月,新北市,行,9373138,10054573224,4910471,4947390795
103年11月,新北市,行,8969469,9296879476,4736383,4687113829
103年12月,新北市,行,9417345,9358248267,4970243,4846436554
104年01月,新北市,行,9140540,8385846440,4762103,4444916266
104年02月,新北市,行,8506154,7751824948,4260481,3966888312
104年03月,新北市,行,9272438,8788506734,4839447,4612310988
104年04月,新北市,行,9025979,8542999842,4685340,4439267991
104年05月,新北市,行,9360440,9169621308,4940756,4844709648
104年06月,新北市,行,9569781,9424036022,4995984,4898728736
104年07月,新北市,行,9812910,9520747952,5161533,5093412075
104年08月,新北市,行,9496629,8689729312,5008233,4686382776
104年09月,新北市,行,9430132,8468074943,4924606,4485329229
104年10月,新北市,行,9744998,8867321573,5051787,4724062693
104年11月,新北市,行,9523773,8501885007,4981046,4589826814
104年12月,新北市,行,9713430,8559889204,5151854,4788488638
105年01月,新北市,行,9824071,8177977724,5123105,4605977293
105年02月,新北市,行,8641967,7056636697,4331489,3889331898
105年03月,新北市,行,9348208,8233429125,4893205,4687094183
105年04月,新北市,行,9238951,8013453906,4796860,4431549231
105年05月,新北市,行,9655507,8698953898,5087611,4801081049
105年06月,新北市,行,10098769,9457373784,5286305,5171525744
105年07月,新北市,行,10016424,9078574688,5267378,4979543017
105年08月,新北市,行,10281466,8977765072,5368104,4878857889
105年09月,新北市,行,9034498,8051393683,4745028,4414397762
105年10月,新北市,行,9641873,8881873648,5103814,4965118282
105年11月,新北市,行,9891887,9055232631,5258485,5044749932
105年12月,新北市,行,10358247,9895448598,5583531,5522564791
106年01月,新北市,行,8849306,8712006280,4791155,4913350711
106年02月,新北市,行,8041545,8025498226,4437938,4756788770
106年03月,新北市,行,9409785,9266643922,5279891,5511236943
106年04月,新北市,行,9853101,9193470274,5343769,5174732309
106年05月,新北市,行,9186856,8681301376,5157438,5086042688
106年06月,新北市,行,7678199,7783615593,4478225,4733021087
106年07月,新北市,行,8256761,8032602200,4783535,4903251363
106年08月,新北市,行,8442073,8372984132,4966488,5151322192
106年09月,新北市,行,8091094,8080994137,4766405,4979839814
106年10月,新北市,行,8394453,8698319411,4876274,5440671134
106年11月,新北市,行,8154525,8500501872,4818363,5171865927
106年12月,新北市,行,8686998,9236357459,5176753,5729283383
107年01月,新北市,行,7747304,8407069314,4606551,5260341895
107年02月,新北市,行,7390441,7647289275,4228468,4551083064
107年03月,新北市,行,8559594,9074290025,5136410,5808944891
107年04月,新北市,行,8739217,9004169576,5052530,5414432901
107年05月,新北市,行,9451592,9864911626,5509604,5925019385
103年01月,桃園市,衣,44726,109474678,153898,405508647
103年02月,桃園市,衣,23939,53394693,83808,210014399
103年03月,桃園市,衣,25381,55724166,96058,247032509
103年04月,桃園市,衣,28568,63896332,111636,289075251
103年05月,桃園市,衣,35272,75811761,130107,320333854
103年06月,桃園市,衣,33097,69483792,122963,290773262
103年07月,桃園市,衣,30701,62224592,116339,262524415
103年08月,桃園市,衣,33970,66776828,125642,264257369
103年09月,桃園市,衣,27115,60148404,103896,255067958
103年10月,桃園市,衣,36964,91192906,136833,369944181
103年11月,桃園市,衣,43119,108302839,153462,418993864
103年12月,桃園市,衣,60777,149153959,230644,604411847
104年01月,桃園市,衣,41036,101122912,144367,385714319
104年02月,桃園市,衣,41058,101399496,130652,335531417
104年03月,桃園市,衣,30864,70739513,125015,312733578
104年04月,桃園市,衣,34619,77694114,136123,338532142
104年05月,桃園市,衣,41590,88424021,153841,368230141
104年06月,桃園市,衣,39388,81540008,143169,329325558
104年07月,桃園市,衣,37077,74781001,138687,305993593
104年08月,桃園市,衣,38471,77605842,134229,283382314
104年09月,桃園市,衣,31151,70412323,114687,276114830
104年10月,桃園市,衣,39015,96925639,134924,357380219
104年11月,桃園市,衣,40583,101967980,143628,381983846
104年12月,桃園市,衣,62004,151543822,225006,586406879
105年01月,桃園市,衣,49149,120054555,161753,419637984
105年02月,桃園市,衣,36617,91086995,104653,271742561
105年03月,桃園市,衣,24561,56131767,85336,220322705
105年04月,桃園市,衣,33142,73093921,117403,279343457
105年05月,桃園市,衣,36979,76974910,125126,292851362
105年06月,桃園市,衣,38927,77460311,131827,291258719
105年07月,桃園市,衣,37261,72936355,117791,253753456
105年08月,桃園市,衣,36285,71163589,121343,257546581
105年09月,桃園市,衣,32627,66236027,103495,231930641
105年10月,桃園市,衣,37987,85219258,115495,281165794
105年11月,桃園市,衣,38534,94489677,124566,331415372
105年12月,桃園市,衣,54344,127668887,167872,429735852
106年01月,桃園市,衣,53825,129016470,153618,393284354
106年02月,桃園市,衣,33859,73953746,107472,248754047
106年03月,桃園市,衣,29538,62831572,101734,243784143
106年04月,桃園市,衣,36067,74770551,117986,278673562
106年05月,桃園市,衣,41606,81931720,135397,301391091
106年06月,桃園市,衣,38540,72973081,132469,278162915
106年07月,桃園市,衣,38892,71175984,128023,262344668
106年08月,桃園市,衣,35948,66149326,126091,255683212
106年09月,桃園市,衣,30395,60576575,105166,242596107
106年10月,桃園市,衣,41394,90906143,134770,343008509
106年11月,桃園市,衣,40647,98990217,141416,389513719
106年12月,桃園市,衣,57191,134433685,193624,509873762
107年01月,桃園市,衣,42152,95956930,148104,373983703
107年02月,桃園市,衣,42688,103463944,124699,334751356
107年03月,桃園市,衣,29373,64212371,107834,268042598
107年04月,桃園市,衣,33996,72931325,111754,276982086
107年05月,桃園市,衣,39426,78953932,140287,331715280
103年01月,桃園市,百貨,263477,858315657,426176,1420233354
103年02月,桃園市,百貨,222818,734394362,350124,1098305036
103年03月,桃園市,百貨,228314,693796844,344096,1066744887
103年04月,桃園市,百貨,242276,774637544,386164,1332881660
103年05月,桃園市,百貨,254479,802519252,400684,1284958815
103年06月,桃園市,百貨,258738,782102441,420672,1288529130
103年07月,桃園市,百貨,244089,733650849,407663,1211820664
103年08月,桃園市,百貨,244708,739032798,398317,1167673384
103年09月,桃園市,百貨,231332,720632255,345541,1158238945
103年10月,桃園市,百貨,282169,958569547,507758,1890876907
103年11月,桃園市,百貨,274739,923634391,519911,1947916629
103年12月,桃園市,百貨,264866,841468462,407867,1299428860
104年01月,桃園市,百貨,241423,777992363,372899,1234246661
104年02月,桃園市,百貨,264300,902016038,425020,1440983189
104年03月,桃園市,百貨,235835,740678648,353323,1132597681
104年04月,桃園市,百貨,258452,846802625,408744,1453153128
104年05月,桃園市,百貨,266586,846540400,410246,1324442917
104年06月,桃園市,百貨,257571,796653706,411448,1306987037
104年07月,桃園市,百貨,242309,720496187,395219,1192408714
104年08月,桃園市,百貨,251233,756478526,397899,1178663856
104年09月,桃園市,百貨,238356,745907023,368863,1220990108
104年10月,桃園市,百貨,279009,959619632,467423,1717810734
104年11月,桃園市,百貨,271878,951426004,513602,2013448778
104年12月,桃園市,百貨,284892,926017049,449228,1456756591
105年01月,桃園市,百貨,283831,948791912,458683,1499488346
105年02月,桃園市,百貨,275292,957120112,431701,1475033751
105年03月,桃園市,百貨,219343,680282404,328579,1067738383
105年04月,桃園市,百貨,258198,822035667,414288,1453724248
105年05月,桃園市,百貨,257540,798384217,401551,1274565991
105年06月,桃園市,百貨,272917,835685012,445002,1401126738
105年07月,桃園市,百貨,248674,738689117,415343,1220641855
105年08月,桃園市,百貨,239871,710248717,382251,1129997490
105年09月,桃園市,百貨,246463,751647392,378339,1226121743
105年10月,桃園市,百貨,282643,953138883,476627,1787480284
105年11月,桃園市,百貨,283543,997936492,528303,2060959657
105年12月,桃園市,百貨,288153,916981452,453747,1425596660
106年01月,桃園市,百貨,304362,1008391213,490446,1618643330
106年02月,桃園市,百貨,262695,845224698,396191,1251464545
106年03月,桃園市,百貨,254054,763702347,370906,1181296559
106年04月,桃園市,百貨,280128,890235916,437105,1467997412
106年05月,桃園市,百貨,291544,913368856,453644,1459742525
106年06月,桃園市,百貨,267287,789895362,404387,1213779804
106年07月,桃園市,百貨,270966,797088306,436926,1282309762
106年08月,桃園市,百貨,263943,780469388,420139,1214018076
106年09月,桃園市,百貨,263033,782724008,392516,1246074708
106年10月,桃園市,百貨,322850,1053491707,523253,1912470554
106年11月,桃園市,百貨,313523,1069154263,567202,2173081020
106年12月,桃園市,百貨,313412,951428040,480894,1442874940
107年01月,桃園市,百貨,261489,823472109,393207,1230661120
107年02月,桃園市,百貨,308493,1032129120,477672,1599231063
107年03月,桃園市,百貨,279268,835809708,419414,1325771031
107年04月,桃園市,百貨,311732,952327295,479418,1579806774
107年05月,桃園市,百貨,308482,945442720,479047,1539232352
103年01月,桃園市,食,453268,832305137,535961,946989699
103年02月,桃園市,食,352722,518568227,403539,575766908
103年03月,桃園市,食,394795,560641276,468937,639308001
103年04月,桃園市,食,374618,541366465,448106,620677068
103年05月,桃園市,食,421148,636827873,497136,734352054
103年06月,桃園市,食,419880,599918126,493995,685022810
103年07月,桃園市,食,453816,641406142,559605,771076663
103年08月,桃園市,食,483062,738628704,602428,895686616
103年09月,桃園市,食,427502,602547959,525217,719126870
103年10月,桃園市,食,422626,584411808,516403,688084440
103年11月,桃園市,食,431081,681774116,523705,838736515
103年12月,桃園市,食,460514,683241186,553049,799168087
104年01月,桃園市,食,461248,740140933,549431,842965100
104年02月,桃園市,食,451569,814172657,530643,932332764
104年03月,桃園市,食,414013,613586985,491374,699075229
104年04月,桃園市,食,417816,600321181,498581,696702915
104年05月,桃園市,食,479769,741943910,564140,857693133
104年06月,桃園市,食,459246,646788295,547240,747357252
104年07月,桃園市,食,488681,679375928,596715,806793569
104年08月,桃園市,食,564834,861654196,698593,1044743762
104年09月,桃園市,食,504287,768729593,615595,917638146
104年10月,桃園市,食,496882,728571914,596254,846495032
104年11月,桃園市,食,479082,744053907,576616,881417378
104年12月,桃園市,食,525141,799169139,619159,930206781
105年01月,桃園市,食,579628,1002510986,677270,1175160072
105年02月,桃園市,食,518409,877149366,589546,983036162
105年03月,桃園市,食,477511,693662620,560824,804210380
105年04月,桃園市,食,492458,708487586,576300,817242845
105年05月,桃園市,食,532911,827175536,621798,955120269
105年06月,桃園市,食,547894,772848710,639994,887092496
105年07月,桃園市,食,596101,849092159,710642,1000001567
105年08月,桃園市,食,536356,814600754,670522,1002162390
105年09月,桃園市,食,560812,818705993,655842,957585562
105年10月,桃園市,食,575061,792266609,672888,917849868
105年11月,桃園市,食,471917,614333746,548003,651159913
105年12月,桃園市,食,512136,645077816,583074,688692380
106年01月,桃園市,食,554980,875110772,624945,937016191
106年02月,桃園市,食,467978,590279505,523203,641983045
106年03月,桃園市,食,477830,601467956,564115,716961763
106年04月,桃園市,食,496268,632603511,582036,745038864
106年05月,桃園市,食,508491,670586124,592690,796932409
106年06月,桃園市,食,495367,618680033,584883,754101576
106年07月,桃園市,食,562511,700455762,671492,844452425
106年08月,桃園市,食,548335,717245835,672657,897279180
106年09月,桃園市,食,516944,663568505,614360,812056187
106年10月,桃園市,食,548443,697112563,637098,823697374
106年11月,桃園市,食,496215,633108171,587535,771175631
106年12月,桃園市,食,539152,708157570,629741,835012782
107年01月,桃園市,食,462326,641919597,540266,750474604
107年02月,桃園市,食,552373,836156451,636685,967615524
107年03月,桃園市,食,503517,587937136,592039,727219261
107年04月,桃園市,食,607648,760905673,686872,925971860
107年05月,桃園市,食,715323,945138061,799458,1149184730
103年01月,桃園市,住,94083,439848380,77398,388496107
103年02月,桃園市,住,71166,281068811,56453,243161710
103年03月,桃園市,住,75338,311728768,59171,275249451
103年04月,桃園市,住,72041,328681938,57314,296438313
103年05月,桃園市,住,78807,338521018,63851,306755060
103年06月,桃園市,住,79714,341186723,65887,318042173
103年07月,桃園市,住,85998,381326127,71988,358559524
103年08月,桃園市,住,84051,341723870,71562,324014402
103年09月,桃園市,住,75943,304992956,63509,285797979
103年10月,桃園市,住,77642,316969399,64356,285452514
103年11月,桃園市,住,78527,338384780,65490,329648386
103年12月,桃園市,住,83067,360419756,66802,310807244
104年01月,桃園市,住,86889,388340227,70324,352175895
104年02月,桃園市,住,80889,343641201,68524,318653722
104年03月,桃園市,住,75544,308152850,60829,264303263
104年04月,桃園市,住,74310,340179851,58961,304377931
104年05月,桃園市,住,80827,357876353,65089,318564245
104年06月,桃園市,住,77101,347202547,63953,320776397
104年07月,桃園市,住,81190,350239560,68465,320312123
104年08月,桃園市,住,86256,334036184,72621,314386947
104年09月,桃園市,住,85733,333700082,72824,308357659
104年10月,桃園市,住,89298,364115578,73901,323565383
104年11月,桃園市,住,87387,402877613,75126,367711104
104年12月,桃園市,住,94349,425819101,78753,372226077
105年01月,桃園市,住,99149,474857802,84765,452126796
105年02月,桃園市,住,89213,387697015,74637,338236524
105年03月,桃園市,住,80170,317709081,65746,275735744
105年04月,桃園市,住,74570,348623107,62992,302894142
105年05月,桃園市,住,75655,355931126,64971,343409286
105年06月,桃園市,住,79951,380401020,67120,349786850
105年07月,桃園市,住,85110,380541812,73955,359151501
105年08月,桃園市,住,78986,347711324,68635,315070841
105年09月,桃園市,住,75105,307828228,62617,292744594
105年10月,桃園市,住,84108,355132736,67565,328252979
105年11月,桃園市,住,83320,368964140,65377,336395278
105年12月,桃園市,住,84890,390884552,70158,350317722
106年01月,桃園市,住,88202,421653383,75233,407703997
106年02月,桃園市,住,77998,326530157,64937,299131907
106年03月,桃園市,住,74362,323704168,61481,285535828
106年04月,桃園市,住,77525,380499956,65699,345204742
106年05月,桃園市,住,79271,356875063,70060,335515820
106年06月,桃園市,住,74978,338674573,66467,335270255
106年07月,桃園市,住,88440,421058392,80000,410766289
106年08月,桃園市,住,85484,389626475,79597,368279518
106年09月,桃園市,住,76424,341722150,67228,334284137
106年10月,桃園市,住,82351,384288488,72918,368502178
106年11月,桃園市,住,79870,381151558,69065,357511864
106年12月,桃園市,住,85311,380826198,73113,365324322
107年01月,桃園市,住,78095,362290351,67813,365571194
107年02月,桃園市,住,82724,371203849,74607,361016296
107年03月,桃園市,住,77961,320689945,69326,312745124
107年04月,桃園市,住,77965,371963766,68182,353909482
107年05月,桃園市,住,81396,377845989,71982,367147379
103年01月,桃園市,其他,147575,879687313,222307,1028339911
103年02月,桃園市,其他,110725,613172768,167790,717577270
103年03月,桃園市,其他,127363,750446322,197954,909517876
103年04月,桃園市,其他,121222,736635459,192370,961842940
103年05月,桃園市,其他,130958,783639507,208343,968018437
103年06月,桃園市,其他,129316,747339520,205737,890046332
103年07月,桃園市,其他,132027,773912369,211572,916662064
103年08月,桃園市,其他,132357,764459979,208658,933951600
103年09月,桃園市,其他,131455,799664001,208254,1050703376
103年10月,桃園市,其他,139260,837690090,212979,1022084717
103年11月,桃園市,其他,132995,815748060,204366,962423117
103年12月,桃園市,其他,147495,936899372,220663,1111003559
104年01月,桃園市,其他,143303,898439486,211798,1066759451
104年02月,桃園市,其他,128679,757436344,183275,865475968
104年03月,桃園市,其他,134471,825719308,200036,1012909551
104年04月,桃園市,其他,132359,810969562,200232,1076853294
104年05月,桃園市,其他,138324,824875235,208282,1012937013
104年06月,桃園市,其他,139846,842774604,209691,996316630
104年07月,桃園市,其他,145336,867615581,216134,1026122330
104年08月,桃園市,其他,142963,839547701,212564,997378989
104年09月,桃園市,其他,140544,832214402,214824,1136375174
104年10月,桃園市,其他,155472,950448104,229910,1140458267
104年11月,桃園市,其他,146269,897046466,217201,1091789816
104年12月,桃園市,其他,156091,966304543,227557,1171209014
105年01月,桃園市,其他,142059,917840001,184759,1078371510
105年02月,桃園市,其他,119224,699963708,156010,834445095
105年03月,桃園市,其他,134273,820787696,176818,975469638
105年04月,桃園市,其他,130802,800368666,173255,1080759151
105年05月,桃園市,其他,139634,850257493,199556,1060736702
105年06月,桃園市,其他,157468,891265980,239769,1074387617
105年07月,桃園市,其他,155727,867558782,240643,1039724694
105年08月,桃園市,其他,154297,859621697,237754,1052861707
